Country,"Life Expectancy at birth, total(years)",Poverty,Population,Population growth(annual percentage),Net Migraion,GDP
Afghanistan ,66,Not available,"43,844,111",2.8,"-74,404",17.78
Albania ,80,0.3,"2,349,580",-1.2,"-24,230",30.54
Algeria ,76,0.0,"47,435,312",1.3,"-27,531",287.03
American Samoa ,73,Not available,"46,029",-1.6,"-1,051","871,000,000"
Andorra ,84,Not available,"82,904",1.2,843,4.5
Angola ,65,39.3,"39,040,039",3.0,"-3,524",122.17
Antigua and Barbuda ,78,Not available,"94,209",0.5,12,2.34
Argentina ,78,1.0,"45,851,378",0.3,"2,859",683.1
Armenia ,78,0.8,"3,086,700",1.7,"-29,013",29.24
Aruba ,77,Not available,"108,785",0.7,111,4.17
Australia ,83,0.9,"27,614,411",1.5,"137,109",1.8
Austria ,82,0.5,"9,208,163",0.3,"11,254",579.47
Azerbaijan ,75,0.0,"10,246,996",0.4,"8,731",75.94
"Bahamas, The ",75,Not available,"403,033",0.4,935,15.83
Bahrain ,81,Not available,"1,600,366",0.7,"18,128",48.97
Bangladesh ,75,5.9,"175,686,899",1.2,"-402,100",456.32
Barbados ,76,1.7,"282,623",0.1,-87,8.02
Belarus ,74,0.0,"9,085,991",-0.5,"-3,020",93.4
Belgium ,82,0.1,"11,941,781",0.7,"31,989",725.47
Belize ,74,1.0,"422,924",1.4,360,3.33
Benin ,61,27.2,"14,814,460",2.4,"-7,847",24.57
Bermuda ,82,Not available,"64,555",-0.1,-2,9.19
Bhutan ,73,0.0,"796,682",0.6,455,3.58
Bolivia ,69,2.1,"12,581,843",1.3,"-3,179",64.77
Bosnia and Herzegovina ,78,0.3,"3,140,095",-0.8,"-6,994",32.6
Botswana ,69,21.4,"2,562,122",1.6,"-5,665",19.93
Brazil ,76,3.0,"212,812,405",0.4,"-217,283",2.28
British Virgin Islands ,77,Not available,"39,732",0.7,153,Not available
Brunei Darussalam ,76,Not available,"466,330",0.8,0,15.03
Bulgaria ,76,1.0,"6,433,302",-0.1,"-2,961",130.78
Burkina Faso ,61,42.1,"24,074,580",2.2,"-27,130",27.63
Burundi ,64,74.2,"14,390,003",2.4,"-34,727",3.36
Cabo Verde ,76,14.6,"527,326",0.5,"-1,284",3.06
Cambodia ,71,Not available,"17,847,982",1.2,"-31,469",51.27
Cameroon ,64,26.7,"29,879,337",2.6,"-15,379",58.93
Canada ,82,0.3,"41,651,653",0.9,"326,204",2.32
Cayman Islands ,81,Not available,"75,844",1.8,888,7.77
Central African Republic ,58,71.6,"5,513,282",3.4,"-14,693",3.07
Chad ,55,39.5,"21,003,705",3.4,"-123,104",21.47
Channel Islands ,81,Not available,"168,466",0.2,675,12.51
Chile ,81,0.4,"19,859,921",0.5,"51,712",357.37
China ,78,0.0,1.41,-0.2,"-268,126",19.5
Colombia ,78,8.5,"53,425,635",1.0,"129,139",457.41
Comoros ,67,5.1,"882,847",1.9,"-2,127",1.81
"Congo, Dem. Rep. ",62,85.3,"112,832,473",3.2,"-27,309",91.03
"Congo, Rep. ",66,39.2,"6,484,437",2.4,"-2,999",16.31
Costa Rica ,81,0.8,"5,152,950",0.4,"1,000",102.9
Cote d'Ivoire ,62,20.8,"32,711,547",2.4,"11,305",99.77
Croatia ,79,0.3,"3,876,200",0.3,"-3,481",105.06
Cuba ,78,Not available,"10,937,203",-0.4,"-22,244",107.35
Curacao ,77,Not available,"156,263",0.2,470,3.56
Cyprus ,82,0.0,"1,370,754",0.9,"7,749",41.23
Czechia ,80,0.0,"10,886,878",-0.2,"-112,188",391.03
Denmark ,82,0.4,"6,009,169",0.5,"22,103",462.53
Djibouti ,66,25.4,"1,184,076",1.3,-581,4.62
Dominica ,71,Not available,"65,871",-0.5,-242,"723,859,259"
Dominican Republic ,74,0.8,"11,520,487",0.8,"-35,306",127.41
Ecuador ,78,3.4,"18,289,896",0.8,"-17,219",130.32
"Egypt, Arab Rep. ",72,1.4,"118,365,995",1.6,"-57,305",365.25
El Salvador ,72,4.6,"6,365,503",0.4,"-23,934",36.71
Equatorial Guinea ,64,8.8,"1,938,431",2.4,"3,812",12.82
Eritrea ,69,Not available,"3,607,003",2.0,"-6,698",2.07
Estonia ,79,0.3,"1,366,475",-0.4,"-13,350",47.03
Eswatini ,64,44.5,"1,256,174",1.1,"-5,775",5.16
Ethiopia ,68,38.6,"135,472,051",2.6,"24,054",126.36
Faroe Islands ,83,Not available,"54,900",0.5,386,4.05
Fiji ,67,4.7,"933,154",0.5,"-3,288",6.2
Finland ,82,0.2,"5,646,436",0.5,"18,246",317.04
France ,83,0.1,"68,720,337",0.2,"91,737",3.37
French Polynesia ,84,Not available,"282,465",0.2,"-1,199",6.32
Gabon ,69,3.8,"2,593,130",2.1,"1,116",21.43
"Gambia, The ",66,22.0,"2,822,093",2.2,"-2,984",2.59
Georgia ,75,4.2,"3,935,766",3.2,"1,283",38.14
Germany ,81,0.7,"83,491,249",-0.0,"-334,072",5.05
Ghana ,66,39.0,"35,064,272",1.8,"-17,079",114.21
Gibraltar ,84,Not available,"40,126",2.0,549,Not available
Greece ,82,0.6,"10,413,962",0.1,"16,636",280.64
Greenland ,70,Not available,"56,831",-0.0,-265,3.33
Grenada ,75,0.8,"117,303",0.1,-185,1.42
Guam ,77,Not available,"168,999",0.7,-493,6.91
Guatemala ,73,9.7,"18,687,881",1.5,"-7,959",123.31
Guinea ,61,11.7,"15,099,727",2.3,"-16,282",28.35
Guinea-Bissau ,64,39.9,"2,249,515",2.2,"-1,373",2.53
Guyana ,70,Not available,"835,986",0.6,"-5,092",27.1
Haiti ,65,40.4,"11,906,095",1.1,"-32,052",32.08
Honduras ,73,15.7,"11,005,850",1.7,"-4,778",39.6
"Hong Kong SAR, China ",85,Not available,"7,498,900",-0.3,"17,863",427.31
Hungary ,77,0.9,"9,514,251",-0.5,"-16,331",246.49
Iceland ,83,0.1,"392,404",1.5,"2,709",38.58
India ,72,5.3,1.46,0.9,"-495,753",3.96
Indonesia ,71,4.0,"285,721,236",0.8,"-39,509",1.45
"Iran, Islamic Rep. ",78,2.5,"92,417,681",0.9,"116,786",362.68
Iraq ,72,0.5,"47,020,774",2.1,"-1,064",254.37
Ireland ,83,0.1,"5,484,367",1.6,"35,417",721.7
Isle of Man ,81,Not available,"84,118",-0.0,166,7.58
Israel ,83,0.4,"10,122,800",1.2,"11,466",610.78
Italy ,84,0.9,"58,915,656",-0.1,"75,448",2.55
Jamaica ,72,1.4,"2,837,077",-0.1,"-11,053",22.7
Japan ,84,1.2,"123,366,734",-0.5,"140,579",4.44
Jordan ,78,0.1,"11,520,684",-0.3,"-303,267",61.61
Kazakhstan ,75,0.0,"20,843,754",1.2,"-8,834",306.24
Kenya ,64,45.5,"57,532,493",1.9,"-27,330",135.94
Kiribati ,67,0.9,"136,488",1.5,-462,"349,227,254"
"Korea, Dem. People's Rep. ",74,Not available,"26,571,036",0.3,"-2,787",Not available
"Korea, Rep. ",84,0.1,"51,684,564",-0.1,"65,731",1.87
Kosovo ,78,10.0,"1,576,876",-1.1,"-18,380",12.46
Kuwait ,85,Not available,"4,865,298",-0.7,"42,775",157.21
Kyrgyz Republic ,72,2.2,"7,343,064",1.7,"1,815",22.62
Lao PDR ,69,7.1,"7,873,046",1.3,"-10,645",18.3
Latvia ,76,0.4,"1,847,785",-1.0,"-7,330",48.62
Lebanon ,78,5.8,"5,849,421",0.7,"-10,230",25.97
Lesotho ,58,41.9,"2,363,325",1.1,"-5,192",2.57
Liberia ,62,33.6,"5,731,206",2.1,"-9,870",5.25
Libya ,71,Not available,"7,458,555",1.0,-172,48.1
Liechtenstein ,84,Not available,"41,024",1.4,194,8.91
Lithuania ,77,1.1,"2,888,774",0.0,"-24,618",95.21
Luxembourg ,83,0.1,"686,970",1.5,"5,237",101.16
"Macao SAR, China ",83,Not available,"685,900",-0.2,-328,52.06
Madagascar ,64,69.2,"32,740,678",2.4,"-2,227",19.62
Malawi ,68,75.4,"22,216,120",2.6,"-5,628",14.92
Malaysia ,77,0.0,"35,977,838",1.2,"166,615",472.19
Maldives ,81,0.0,"529,676",0.4,"-2,283",7.74
Mali ,61,36.1,"25,198,821",2.9,"-48,019",30.07
Malta ,83,0.4,"579,704",1.9,"5,161",27.77
Marshall Islands ,67,2.1,"36,282",-3.4,"-1,698","308,000,000"
Mauritania ,69,10.2,"5,315,065",2.8,"-5,044",11.68
Mauritius ,74,0.5,"1,243,741",-0.2,"-2,784",16.16
Mexico ,75,1.6,"131,946,900",0.8,"-108,037",1.83
"Micronesia, Fed. Sts. ",67,26.1,"113,683",0.5,"-1,125","501,797,600"
Moldova ,71,0.1,"2,360,527",-1.8,"-29,766",20.35
Monaco ,86,Not available,"38,341",-0.8,100,11.13
Mongolia ,72,0.4,"3,568,978",1.2,79,25.37
